1, 41 75 125 30 0 22 17 15 0 2 0;
2, 22 2 26 30 0 22 17 15 1 1 120;
3, 1 13 26 30 0 22 17 15 2 3 29;
4, 15 40 26 30 11 22 17 15 3 2 70;
5, 60 23 26 30 63 22 17 15 0 2 60;
6, 20 23 26 30 53 22 17 15 1 2 10;
7, 76 23 26 30 23 22 17 15 2 1 5;
8, 3 23 26 30 2 22 17 15 3 0 50;
9, 2 26 30 0 22 17 15 1 1 120;
10, 40 26 30 11 22 17 15 3 2 70;
11, 40 26 30 11 22 17 15 3 2 70;
12, 40 26 30 11 22 17 15 3 2 70;
13, 40 26 30 11 22 17 15 3 2 70;
14, 40 26 30 11 22 17 15 3 2 70;
15, 40 26 30 11 22 17 15 3 2 70;
16, 40 26 30 11 22 17 15 3 2 70;
